Частота. Гц,Re. Ом,Im. Ом
1999999.970,1250.458,9138.907
1739498.019,1529.105,10486.414
1512926.638,1919.343,12029.327
1315866.441,2401.209,13792.828
1144473.553,3132.711,15762.128
995404.691,3854.348,17931.245
865752.250,4992.534,19992.552
752987.176,6181.204,22733.664
654909.790,7874.899,25085.411
569607.139,9635.553,28344.786
495415.270,11895.341,31797.484
430886.954,14378.018,35158.383
374763.519,17666.876,38536.930
325950.176,21431.626,42586.972
283494.830,25546.221,45580.613
246569.306,30284.583,49108.208
214453.429,34984.168,53868.332
186520.636,41417.800,55047.028
162226.170,48654.157,57825.642
141096.085,57878.477,56412.255
122718.126,62398.165,61276.261
106733.948,68572.691,61968.696
92831.790,77177.543,62092.076
80740.303,84102.176,61674.563
70223.808,91020.589,60657.589
61077.118,97641.516,58949.359
53121.775,103510.162,58278.114
46202.570,109886.949,55706.775
40184.677,114828.328,53891.252
34950.525,120429.912,50899.901
30398.190,125323.176,48907.850
26438.802,128870.733,48498.574
22995.114,133598.130,43934.642
19999.981,137999.134,41799.500
17395.020,141568.264,39475.811
15129.268,144549.803,36570.200
13158.649,147060.505,34703.231
11444.718,151120.759,32298.034
9954.035,152658.290,31145.533
8657.545,154430.498,29220.434
7529.855,157360.499,26598.913
6549.060,159250.084,24883.267
5696.028,160959.046,23642.398
4954.129,162961.362,22053.136
4308.879,163553.013,19548.300
3747.672,165131.024,19061.674
3259.510,166777.724,17632.605
2834.916,165770.778,16810.033
2465.665,168260.044,17385.431
2144.516,168448.558,14478.547
1865.208,170123.398,16186.465
1622.289,170787.430,13736.341
1410.931,171902.144,13364.930
1227.200,172013.232,15336.870
1067.340,174232.497,14827.463
928.313,174894.070,13878.646
807.434,176836.497,15203.697
702.202,175538.891,14505.360
610.739,178495.817,16090.838
531.256,178842.095,14410.725
462.055,180285.551,13810.695
401.884,181841.219,12917.709
349.492,183499.987,16498.358
303.984,183765.217,15598.837
264.376,186742.833,15417.352
229.955,188022.296,16523.255
200.003,184686.281,13344.625
173.986,190720.687,16107.066
151.277,191045.268,13821.960
131.607,195297.075,27390.114
114.441,194630.718,15171.248
99.510,196216.567,15844.971
86.546,199329.437,12603.511
75.281,196589.569,6410.496
65.535,197206.797,16229.369
56.952,203680.076,16155.974
49.531,204119.886,9456.930
43.094,200788.999,14988.532
37.462,193988.102,22192.757
32.634,208626.528,11865.501
28.342,209475.393,15006.791
24.676,209691.110,15139.599
21.458,211035.447,15177.691
18.686,213496.178,14982.044
16.183,213435.231,15330.277
14.126,214394.403,15259.725
12.249,215775.278,15382.047
10.639,217667.914,14893.794
9.298,217991.828,14627.084
8.047,219685.880,15437.741
7.063,221196.097,15399.009
6.080,223024.913,14521.554
5.275,222871.843,15386.877
4.649,225401.157,15569.063
4.023,226037.136,14003.928
3.487,228245.656,15326.791
3.040,229275.941,15199.178
2.682,230226.967,14752.208
2.325,232057.444,14925.971
1.967,233386.933,14853.455
